OBJECTID,Suburbs and Localities 2021 code,Suburbs and Localities 2021 name,Area in square kilometres,Uniform Resource Identifier,Usual Resident Population,IRSAD Score,IRSAD Rank within Australia,IRSAD Rank within Australia - Decile,IRSAD Rank within Australia - Percentile,IRSAD Rank within State or Territory,IRSAD Rank within State or Territory - Decile,IRSAD Rank within State or Territory - Percentile,IRSAD Minimum Score,IRSAD Maximum Score,IRSAD Per Cent of Usual Resident Population Without a Score,IRSD Score,IRSD Rank within Australia,IRSD Rank within Australia - Decile,IRSD Rank within Australia - Percentile,IRSD Rank within State or Territory,IRSD Rank within State or Territory - Decile,IRSD Rank within State or Territory - Percentile,IRSD Minimum Score,IRSD Maximum Score,IRSD Per Cent of Usual Resident Population Without a Score,IEO Score,IEO Rank within Australia,IEO Rank within Australia - Decile,IEO Rank within Australia - Percentile,IEO Rank within State or Territory,IEO Rank within State or Territory - Decile,IEO Rank within State or Territory - Percentile,IEO Minimum Score,IEO Maximum Score,IEO Per Cent of Usual Resident Population Without a Score,IER Score,IER Rank within Australia,IER Rank within Australia - Decile,IER Rank within Australia - Percentile,IER Rank within State or Territory,IER Rank within State or Territory - Decile,IER Rank within State or Territory - Percentile,IER Minimum Score,IER Maximum Score,IER Per Cent of Usual Resident Population Without a Score,Suburbs and Localities (SAL) Aggregation Quality Flag,globalid,Shape__Area,Shape__Length
1,10001,Aarons Pass,82.7639,https://linked.data.gov.au/dataset/asgsed3/SAL/10001,33,881.7936814,1244,1,9,271,1,7,881.7936814,881.7936814,0,885.173643,999,1,7,228,1,6,885.173643,885.173643,0,933.9652927,4039,3,28,1011,3,24,933.9652927,933.9652927,0,933.1936863,1583,2,11,368,1,9,933.1936863,933.1936863,0,1,e729c003-cb28-402a-b21f-fde52ef3b182,0.007974707,0.554240936
2,10002,Abbotsbury,4.9788,https://linked.data.gov.au/dataset/asgsed3/SAL/10002,4200,1060.161482,12522,9,87,3481,9,81,1037.754701,1094.523721,0,1047.136105,10145,8,71,2853,7,67,1000.638257,1108.484806,0,1028.051229,10736,8,75,2978,7,69,966.8688797,1062.667251,0,1118.264611,13799,10,96,3941,10,92,1086.510208,1150.555416,0,,2def9ed1-6b48-4546-999c-3e67571b3878,0.000485102,0.123050592
3,10003,Abbotsford (NSW),1.018,https://linked.data.gov.au/dataset/asgsed3/SAL/10003,5431,1108.085415,13876,10,96,3999,10,93,977.8967835,1187.712703,0,1062.494934,11618,9,81,3281,8,77,876.7843863,1113.5478,0,1120.994652,13946,10,97,4087,10,95,1058.228415,1175.860023,0,1013.120725,6195,5,43,1652,4,39,835.6232201,1114.959802,0,,e3e47613-e7e6-433f-954c-343b05d59f97,9.91575070656836E-05,0.053422864
4,10004,Abercrombie,2.9775,https://linked.data.gov.au/dataset/asgsed3/SAL/10004,1127,1039.382393,11386,8,79,3147,8,73,1002.486682,1074.46783,0,1074.541589,12609,9,88,3574,9,83,1050.718381,1096.267254,0,1005.631229,9173,7,64,2455,6,57,970.9314258,1032.743656,0,1086.779111,12471,9,87,3426,8,80,1033.628818,1144.178099,0,,395a32f0-2615-4c90-8ccd-cae2281b83ce,0.000288549,0.097338224
5,10005,Abercrombie River,127.1701,https://linked.data.gov.au/dataset/asgsed3/SAL/10005,21,998.1850646,8194,6,57,2164,6,51,998.1850646,998.1850646,0,1014.285395,7161,5,50,2000,5,47,1014.285395,1014.285395,0,1000.553656,8800,7,61,2297,6,54,1000.553656,1000.553656,0,1019.9702,6744,5,47,1806,5,42,1019.9702,1019.9702,0,1,aa706489-0b3d-4bac-8cb4-b990c260bcc9,0.012397007,0.848902596
6,10006,Aberdare,3.2961,https://linked.data.gov.au/dataset/asgsed3/SAL/10006,2542,852.4991823,635,1,5,111,1,3,820.2317591,972.8065945,0,883.7474286,979,1,7,220,1,6,857.6560616,1030.992497,0,831.0318599,342,1,3,68,1,2,805.2389435,907.1901104,0,925.1313104,1370,1,10,296,1,7,909.2786622,1035.789891,0,,956b326c-fa44-4582-9799-87bdd9a52590,0.000317463,0.097289693
7,10007,Aberdeen (NSW),41.6327,https://linked.data.gov.au/dataset/asgsed3/SAL/10007,2051,900.5411178,1777,2,13,421,1,10,852.4790181,1023.420733,0,947.1669359,2651,2,19,719,2,17,886.9047018,1052.69255,0,848.1010472,555,1,4,108,1,3,810.5939374,1001.757845,0,987.6831423,4260,3,30,1116,3,26,922.2248438,1056.259609,0,,bf6c753a-0861-480e-abfa-c5d2198d3839,0.003980744,0.444264871
8,10008,Aberfoyle,340.4792,https://linked.data.gov.au/dataset/asgsed3/SAL/10008,121,1037.266812,11215,8,78,3098,8,72,1037.266812,1037.266812,0,1073.799452,12553,9,87,3553,9,83,1073.799452,1073.799452,0,1041.991713,11475,8,80,3254,8,76,1041.991713,1041.991713,0,1071.478688,11243,8,78,3044,8,71,1071.478688,1071.478688,0,1,37f44a8b-a132-4f72-b251-4c69327bffba,0.031907881,1.30738835
9,10009,Aberglasslyn,6.2154,https://linked.data.gov.au/dataset/asgsed3/SAL/10009,6552,981.6006026,6779,5,47,1799,5,42,943.560332,1011.800837,0,1016.790499,7394,6,52,2076,5,49,982.1219859,1066.856781,0,932.1177078,3904,3,27,989,3,23,897.2966157,975.6624173,0,1057.70879,10120,7,70,2715,7,63,1024.623311,1120.223627,0,,318dccab-45fa-4325-97ae-bd3eb3cad36f,0.000597635,0.119584529
10,10010,Abermain,15.3822,https://linked.data.gov.au/dataset/asgsed3/SAL/10010,2544,883.4776797,1286,1,9,280,1,7,828.2096063,990.0348495,0.00117925,923.1041647,1765,2,13,443,2,11,851.2145419,1027.555198,0.00117925,841.6703451,475,1,4,91,1,3,809.8000132,924.7982703,0.00117925,975.0594505,3424,3,24,882,3,21,914.7127348,1093.320771,0.00117925,,1bcba1e5-a82f-45d3-8cc1-8cfd39f9f8eb,0.001481177,0.228436427
11,10011,Abernethy,8.4025,https://linked.data.gov.au/dataset/asgsed3/SAL/10011,317,938.9460103,3528,3,25,925,3,22,924.1725958,997.7121787,0,993.4569828,5492,4,38,1516,4,36,981.5074394,1040.990265,0,871.3690932,1058,1,8,221,1,6,860.924058,912.9176938,0,1059.433686,10284,8,72,2778,7,65,1042.524182,1126.69686,0,,556db4f7-962b-43ca-ac93-1489afcc5d8d,0.000809696,0.158941824
12,10012,Abington (NSW),174.3142,https://linked.data.gov.au/dataset/asgsed3/SAL/10012,29,1042.844136,11633,9,81,3212,8,75,1042.844136,1042.844136,0,1069.817794,12255,9,85,3449,9,81,1069.817794,1069.817794,0,1076.615416,13005,9,90,3773,9,88,1076.615416,1076.615416,0,1061.615987,10419,8,73,2814,7,66,1061.615987,1061.615987,0,1,f4d4e205-0c2f-4ae5-b0fb-50c30d50e09d,0.016349143,0.776545494
13,10013,Acacia Creek,6.261,https://linked.data.gov.au/dataset/asgsed3/SAL/10013,30,936.3750445,3369,3,24,868,3,21,936.3750445,936.3750445,0,955.3807184,2996,3,21,827,2,20,955.3807184,955.3807184,0,967.1945662,6393,5,45,1585,4,37,967.1945662,967.1945662,0,963.9721854,2855,2,20,709,2,17,963.9721854,963.9721854,0,1,c4b3b7cd-9c65-48bd-ad88-3cb78a93f92b,0.000576368,0.128626376
14,10014,Acacia Gardens,1.0013,https://linked.data.gov.au/dataset/asgsed3/SAL/10014,3668,1095.792007,13697,10,95,3923,10,91,1014.423004,1129.335118,0,1080.015242,12951,9,90,3687,9,86,1020.64219,1109.703298,0,1054.028843,12140,9,84,3475,9,81,997.4100632,1088.370872,0,1111.477516,13588,10,94,3840,9,90,1041.977812,1169.958881,0,,af5a0ea7-18ab-4797-b154-27ddbcafb1b7,9.74072645476554E-05,0.04455785
15,10015,Adaminaby,356.4961,https://linked.data.gov.au/dataset/asgsed3/SAL/10015,339,955.1927188,4666,4,33,1212,3,29,934.4188184,1021.32835,0,978.4566738,4324,3,30,1186,3,28,962.1564022,1030.350094,0,931.4293006,3844,3,27,977,3,23,908.8880961,1003.191307,0,989.4643893,4363,4,31,1145,3,27,968.9526267,1054.76548,0,,efaae632-7c1c-43ea-857c-a2a9fa51be06,0.035639019,1.239202053
