SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SAL20001,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,4637,4457,9088,168,171,340,195,204,397,85,108,190,315,357,665,1667,1616,3279,982,801,1784,484,407,888,354,333,692,251,259,508,112,139,249,33,71,97,4443,4257,8704,191,200,393,29,21,52,0,0,0,3,0,3,31,21,56,2855,2651,5507,1507,1584,3090,3361,3090,6449,999,1130,2130,3597,3419,7019,42,35,77,185,177,363,71,94,160,142,186,325,367,466,835,3463,3323,6788,203,186,394,197,138,334,45,66,111,63,101,162,31,37,64,4222,4094,8317,322,275,594
SAL20003,1929,2001,3925,91,60,144,256,241,491,153,170,321,172,152,321,176,185,361,221,244,461,309,345,657,294,297,595,167,173,340,68,76,142,32,45,81,1883,1946,3822,48,56,102,9,9,19,0,0,0,0,3,5,8,9,19,1538,1553,3094,340,390,725,1500,1500,3000,375,439,813,1801,1854,3651,30,28,61,252,235,485,138,167,300,94,86,185,49,70,120,1083,1221,2301,186,154,336,156,135,290,46,66,109,42,57,97,8,12,22,1859,1922,3780,47,48,96
SAL20004,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,3,3,7,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,3
SAL20005,71,76,146,0,3,7,5,4,14,5,5,8,0,0,0,10,3,11,3,4,8,15,11,21,12,10,21,11,17,31,10,6,20,0,4,5,60,70,129,9,6,17,0,0,0,0,0,0,0,0,0,0,0,0,59,67,126,6,12,15,68,72,137,4,3,4,70,76,140,0,0,0,5,4,14,5,0,4,0,0,0,0,0,0,28,37,68,8,10,18,19,7,28,3,3,7,0,4,7,0,0,0,60,70,130,6,6,12
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,45,44,83,4,4,8,8,3,18,0,0,0,0,3,3,0,0,5,11,9,14,12,8,18,9,3,8,4,5,6,0,0,0,0,0,0,45,44,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,65,3,0,0,35,31,68,0,0,6,34,35,68,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,3,9,18,0,0,4,8,9,19,3,0,8,0,0,0,0,0,0,40,35,73,3,11,14
SAL20008,31,37,65,0,4,4,0,8,9,0,6,6,0,0,0,3,7,10,0,0,0,5,3,4,3,3,10,8,3,15,3,3,7,0,4,0,27,33,62,0,9,11,0,3,0,0,0,0,0,0,0,0,3,0,24,25,49,4,3,4,22,30,54,4,0,4,28,31,59,0,0,0,4,8,6,0,0,0,0,0,0,0,0,0,7,9,13,4,3,7,11,0,11,0,6,4,3,5,9,0,0,0,24,29,57,3,5,6
SAL20009,48,43,85,0,0,4,10,9,16,4,0,5,0,0,5,4,3,0,7,6,10,7,5,13,6,5,13,6,3,12,4,5,5,0,0,3,45,39,84,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,41,81,3,0,7,48,43,85,0,0,0,48,39,87,0,0,0,10,9,16,3,0,6,0,0,0,4,0,3,15,10,27,5,7,10,7,8,17,3,5,11,9,0,5,0,0,0,43,44,86,0,0,0
SAL20010,35,26,61,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,13,5,4,8,8,4,19,9,4,7,3,0,3,31,25,51,10,5,8,0,0,0,0,0,0,0,0,0,0,0,0,25,19,41,4,0,6,27,20,55,0,0,0,30,21,52,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,7,19,11,4,12,5,9,12,3,0,5,5,0,5,0,0,0,25,19,47,4,3,7
