notice_id,title,location,suburb,suburb_source,lga,lga_source,start_date,end_date,end_date_basis,date_parse_status,current_notice,index_section,index_title,location_description,date_text,page_updated_date,source_url,source_page_url,raw_html_file,scraped_at,scrape_date,is_designated_area
public-notice-moomba-2020,Public notice: Moomba Festival 6-8 March 2020,Moomba Festival,,,,,2020-03-06,2020-03-08,notice_date_range_compact,parsed,FALSE,previous,Friday 6 March - Sunday 8 March 2020: Melbourne Moomba Festival 2020,,Public notice: Moomba Festival 6-8 March 2020,2025-07-08,https://www.police.vic.gov.au/public-notice-moomba-2020,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-moomba-2020.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-city-of-casey-27-March-2020,Public notice: City of Casey - 27 March 2020,City of Casey,,,City of Casey NA,explicit_notice_text,2020-03-27,2020-03-27,single_day_notice,parsed,FALSE,previous,Friday 27 March 2020: City of Casey,,This declaration will operate on 27 March 2020 between 1pm and 9pm.,2025-07-08,https://www.police.vic.gov.au/public-notice-city-of-casey-27-March-2020,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-city-of-casey-27-March-2020.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-deer-park-17-june-2020,Public notice: Deer Park - 17 June 2020,Deer Park,Deer Park,simple_location_title,,,2020-06-17,2020-06-17,single_day_notice,parsed,FALSE,previous,Wednesday 17 June 2020: Deer Park,,This declaration will operate on Wednesday 17 June 2020 between 1:30pm and 1:30am.,2025-07-08,https://www.police.vic.gov.au/public-notice-deer-park-17-june-2020,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-deer-park-17-june-2020.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-deer-park-19-20-june-2020,Public notice: Deer Park - 19-20 June 2020,Deer Park,Deer Park,simple_location_title,,,2020-06-19,2020-06-20,notice_date_range_compact,parsed,FALSE,previous,Friday 19 June - Saturday 20 June 2020: Deer Park,,This declaration will operate between 2:30pm 19 June and 2:30am Saturday 20 June 2020.,2025-07-08,https://www.police.vic.gov.au/public-notice-deer-park-19-20-june-2020,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-deer-park-19-20-june-2020.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-new-years-eve-2020,Public notice: Melbourne New Year's Eve 2020,Melbourne New Year's Eve 2020,,,,,2020-12-31,2021-01-01,notice_date_range,parsed,FALSE,previous,Thursday 31 December 2020 - Friday 1 January 2021: Melbourne New Year's Eve 2020,,This declaration will operate for the 2020 Melbourne CBD New Year’s Eve event on Thursday 31 December 2020 from 7pm to Friday 1 January 2021 at 7am.,2025-07-08,https://www.police.vic.gov.au/public-notice-new-years-eve-2020,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-new-years-eve-2020.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-st-kilda-new-years-eve-2021,Public notice: St Kilda New Year's Eve 2021,St Kilda New Year's Eve 2021,,,,,2020-12-31,2021-01-01,notice_date_range,parsed,FALSE,previous,Friday 31 December 2021 - Saturday 1 January 2022: St Kilda New Year's Eve,,This declaration will operate between 6pm Friday 31 December 2020 and 6am Saturday 1 January 2021.,2025-07-08,https://www.police.vic.gov.au/public-notice-st-kilda-new-years-eve-2021,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-st-kilda-new-years-eve-2021.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-moomba-2021,Public notice: Moomba Festival 5-7 March 2021,Moomba Festival,,,,,2021-03-05,2021-03-07,notice_date_range_compact,parsed,FALSE,previous,Friday 5 March - Sunday 7 March 2021: Moomba Festival,,Public notice: Moomba Festival 5-7 March 2021,2025-07-08,https://www.police.vic.gov.au/public-notice-moomba-2021,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-moomba-2021.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-footscray-6-May-2021,Public notice: Footscray - 6 May 2021,Footscray,Footscray,simple_location_title,,,2021-05-06,2021-05-06,single_day_notice,parsed,FALSE,previous,Thursday 6 May 2021: Footscray,,This declaration is in place on 6 May 2021.,2025-07-08,https://www.police.vic.gov.au/public-notice-footscray-6-May-2021,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-footscray-6-May-2021.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-city-wyndham-14-15-May-2021,Public notice: City of Wyndham 14-15 May 2021,City of Wyndham,,,City of Wyndham NA,explicit_notice_text,2021-05-14,2021-05-15,notice_date_range_compact,parsed,FALSE,previous,Friday 14 May - Saturday 15 May 2021: City of Wyndham,,This declaration will operate on Friday 14 May from 2pm to Saturday 15 May 2021 at 2am.,2025-07-08,https://www.police.vic.gov.au/public-notice-city-wyndham-14-15-May-2021,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-city-wyndham-14-15-May-2021.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-wyndham-20-21-May-2021,Public notice: City of Wyndham 20-21 May 2021,City of Wyndham,,,City of Wyndham Declaration of designated area un,explicit_notice_text,2021-05-20,2021-05-21,notice_date_range_compact,parsed,FALSE,previous,Thursday 20 May - Friday 21 May 2021: City of Wyndham,Declaration of designated area under s.10D or s.10E of the Control of Weapons Act 1990 a designated area containing all public places within the City of Wyndham that is within the area bounded by and including:,Public notice: City of Wyndham 20-21 May 2021,2025-07-08,https://www.police.vic.gov.au/public-notice-wyndham-20-21-May-2021,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-wyndham-20-21-May-2021.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
