source_url,index_title,index_section,index_type_hint,current_notice
https://www.police.vic.gov.au/public-notice-stockland-wendouree-shopping-centre-wendouree-thursday-24-september-2026,"Public notice: Stockland Wendouree Shopping Centre, Wendouree - Thursday 24 September 2026",current,designated_area,TRUE
https://www.police.vic.gov.au/public-notice-waurn-ponds-shopping-centre-precinct-waurn-ponds-wednesday-30-september-2026,"Public notice: Waurn Ponds Shopping Centre Precinct, Waurn Ponds - Wednesday 30 September 2026",current,designated_area,TRUE
https://www.police.vic.gov.au/public-notice-eastland-shopping-centre-ringwood-thursday-1-october-2026,"Public notice: Eastland Shopping Centre, Ringwood - Thursday 1 October, 2026",current,designated_area,TRUE
https://www.police.vic.gov.au/public-notice-corio-village-shopping-centre-corio-friday-2-october-2026,"Public notice: Corio Village Shopping Centre, Corio - Friday 2 October, 2026",current,designated_area,TRUE
https://www.police.vic.gov.au/public-notice-eastland-shopping-centre-ringwood-friday-2-october-2026,"Public notice: Eastland Shopping Centre, Ringwood - Friday 2 October, 2026",current,designated_area,TRUE
https://www.police.vic.gov.au/public-notice-westfield-geelong-and-market-square-shopping-centres-11-may-31-december-2026,Westfield Geelong and Market Square Shopping Centres - Monday 11 May to Thursday 31 December 2026,current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-bayside-shopping-centre-frankston-wednesday-1-july-thursday-31-december-2026,"Bayside Shopping Centre, Frankston - Wednesday 1 July to Thursday 31 December 2026",current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-eastland-shopping-centre-wednesday-1-july-thursday-31-december-2026,"Eastland Shopping Centre, Ringwood - Wednesday 1 July to Thursday 31 December 2026",current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-fountain-gate-shopping-centre-wednesday-1-july-thursday-31-december-2026,"Fountain Gate Shopping Centre, Narre Warren - Wednesday 1 July to Thursday 31 December 2026",current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-highpoint-shopping-centre-maribyrnong-wednesday-1-july-thursday-31-december-2026,"Highpoint Shopping Centre, Maribyrnong - Wednesday 1 July to Thursday 31 December 2026",current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-northland-shopping-centre-wednesday-1-july-thursday-31-december-2026,"Northland Shopping Centre, Preston - Wednesday 1 July to Thursday 31 December 2026",current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-pacific-werribee-shopping-centre-hoppers-crossing-wednesday-1-july-thursday-31,"Pacific Werribee Shopping Centre, Hoppers Crossing - Wednesday 1 July to Thursday 31 December 2026",current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-southland-shopping-centre-cheltenham-wednesday-1-july-thursday-31-december-2026,"Southland Shopping Centre, Cheltenham - Wednesday 1 July to Thursday 31 December 2026",current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-watergardens-shopping-centre-taylors-lakes-wednesday-1-july-thursday-31-december,"Watergardens Shopping Centre, Taylors Lakes - Wednesday 1 July to Thursday 31 December 2026",current,designated_place,FALSE
https://www.police.vic.gov.au/public-notice-northland-shopping-centre-preston-thursday-17-september-2026,"Northland Shopping Centre, Preston -Thursday 17 September 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-warragul-central-business-district-friday-24-july-2026,Warragul Central Business District - Friday 24 July 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-geelong-cbd-eastern-beach-foreshore-friday-10-july-2026,Geelong Central Business District and Eastern Beach Foreshore - Friday 10 July 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-bayside-shopping-centre-frankston-sunday-1-march-tuesday-30-june-2026,"Bayside Shopping Centre, Frankston - Sunday 1 March to Tuesday 30 June 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-eastland-shopping-centre-sunday-1-march-tuesday-30-june-2026,Eastland Shopping Centre - Sunday 1 March to Tuesday 30 June 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-fountain-gate-shopping-centre-sunday-1-march-tuesday-30-june-2026,Fountain Gate Shopping Centre - Sunday 1 March to Tuesday 30 June 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-highpoint-shopping-centre-maribyrnong-sunday-1-march-tuesday-30-june-2026,"Highpoint Shopping Centre, Maribyrnong - Sunday 1 March to Tuesday 30 June 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-northland-shopping-centre-sunday-1-march-tuesday-30-june-2026,Northland Shopping Centre - Sunday 1 March to Tuesday 30 June 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-pacific-werribee-shopping-centre-hoppers-crossing-sunday-1-march-tuesday-30-june-2026,"Pacific Werribee Shopping Centre, Hoppers Crossing - Sunday 1 March to Tuesday 30 June 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-southland-shopping-centre-cheltenham-sunday-1-march-tuesday-30-june-2026,"Southland Shopping Centre, Cheltenham - Sunday 1 March to Tuesday 30 June 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-watergardens-shopping-centre-taylors-lakes-sunday-1-march-tuesday-30-june-2026,"Watergardens Shopping Centre, Taylors Lakes - Sunday 1 March to Tuesday 30 June 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-footscray-business-district-friday-19-june-2026,Footscray Business District - Friday 19 June 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-dandenong-ramadan-night-market-thursday-26-february-monday-16-march-2026,Dandenong Ramadan Night Market - Thursday 26 February to Monday 16 March 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-flinders-street-railway-station-and-federation-square-saturday-7-march-2026,Flinders Street Railway Station and Federation Square - Saturday 7 March 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-place-0,"Bayside Centre, Frankston - Monday 12 January 2026 to Saturday 28 February 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-place-amended,"Bayside Centre, Frankston - Monday 12 January 2026 to Saturday 28 February 2026 (Amended)",previous,,FALSE
https://www.police.vic.gov.au/public-notice-pacific-werribee-hoppers-crossing-12-january-28-february-2026-designated-place,"Pacific Werribee, Hoppers Crossing - Monday 12 January 2026 to Saturday 28 February 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-area-0,"Bayside Centre, Frankston - Monday 12 January 2026 to Saturday 28 February 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-bayside-centre-frankston-12-january-28-february-2026-designated-area-amended,"Bayside Centre, Frankston - Monday 12 January 2026 to Saturday 28 February 2026 (Amended)",previous,,FALSE
https://www.police.vic.gov.au/public-notice-pacific-werribee-hoppers-crossing-12-january-28-february-2026-designated-area,"Pacific Werribee, Hoppers Crossing - Monday 12 January 2026 to Saturday 28 February 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-eastland-shopping-centre-monday-8-december-2025-saturday-28-february-2026,Eastland Shopping Centre - Monday 8 December 2025 to Saturday 28 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-fountain-gate-shopping-precinct-monday-8-december-2025-saturday-28-february-2026,Fountain Gate Shopping Centre - Monday 8 December 2025 to Saturday 28 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-highpoint-shopping-centre-monday-8-december-2025-saturday-28-february-2026,Highpoint Shopping Centre - Monday 8 December 2025 to Saturday 28 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-northland-shopping-centre-monday-8-december-2025-saturday-28-february-2026,Northland Shopping Centre - Monday 8 December 2025 to Saturday 28 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-eastland-shopping-centre-monday-1-december-2025-saturday-28-february-2026,Eastland Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-northland-shopping-centre-monday-1-december-2025-saturday-28-february-2026,Northland Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-fountain-gate-shopping-precinct-monday-1-december-2025-saturday-28-february-2026,Fountain Gate Shopping Precinct - Monday 1 December 2025 to Saturday 28 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-highpoint-shopping-centre-monday-1-december-2025-saturday-28-february-2026,Highpoint Shopping Centre - Monday 1 December 2025 to Saturday 28 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-kilda-festival-and-st-kilda-entertainment-precinct-sunday-15-february-2026,St Kilda Festival and St Kilda Entertainment Precinct - Sunday 15 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-kilda-entertainment-precinct-sunday-15-february-2026,St Kilda Entertainment Precinct - Sunday 15 February 2026 - AMENDED,previous,,FALSE
https://www.police.vic.gov.au/public-notice-mid-valley-shopping-centre-and-morwell-cbd-monday-9-february-2026,Mid Valley Shopping Centre and Morwell CBD - Monday 9 February 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-sunshine-railway-station-sunshine-market-place-sunshine-plaza-shopping-centre-and,"Sunshine Railway Station, Sunshine Market Place, Sunshine Plaza Shopping Centre and Sunshine CBD - Sunday 8 February 2026",previous,,FALSE
https://www.police.vic.gov.au/public-notice-dandenong-square-shopping-complex-friday-23-january-2026,Dandenong Square Shopping Complex - Friday 23 January 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-mid-valley-shopping-centre-and-morwell-cbd-tuesday-27-january-2026,Mid Valley Shopping Centre and Morwell CBD - Tuesday 27 January 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-albans-railway-station-and-cbd-sunday-18-january-2026,St Albans Lunar Festival - St Albans Railway Station and CBD Sunday 18 January 2026,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-kilda-entertainment-precinct-and-surrounds-wednesday-31-december-2025,Wednesday 31 December 2025 NYE- St Kilda,previous,,FALSE
https://www.police.vic.gov.au/public-notice-geelong-cbd-and-surrounds-nye-wednesday-31-december-2025,Wednesday 31 December 2025 NYE- Geelong CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-geelong-cbd-and-surrounding-area-monday-15-december-2025,Monday 15 December 2025 - Geelong CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-corio-village-shopping-centre-and-surrounding-area-monday-15-december-2025,Monday 15 December 2025 - Corio Village Shopping Centre,previous,,FALSE
https://www.police.vic.gov.au/public-notice-waurn-ponds-shopping-centre-and-surrounding-area-monday-15-december-2025,Monday 15 December 2025 - Waurn Ponds Shopping Centre,previous,,FALSE
https://www.police.vic.gov.au/public-notice-dendy-park-brighton-east-tuesday-9-december-2025,"Tuesday 9 December 2025 - Dendy Park, Brighton East",previous,,FALSE
https://www.police.vic.gov.au/public-notice-watergardens-railway-station-and-surrounds-thursday-4-december-2025,Thursday 4 December 2025: Watergardens Railway Station and surrounds,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-cbd-and-vicinity-sunday-30-november-2025-friday-9-january-2026,Sunday 30 November 2025 to Friday 9 January 2026 - Melbourne CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-cbd-sunday-30-november-2025-friday-29-may-2026,Sunday 30 November 2025 to Friday 29 May 2026 - Melbourne CBD - AMENDED,previous,,FALSE
https://www.police.vic.gov.au/public-notice-westfield-knox-shopping-centre-thursday-27-november-2025,Thursday 27 November 2025: Westfield Knox Shopping Centre,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-cbd-saturday-22-november-2025,Saturday 22 November 2025: Melbourne CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-altona-railway-station-and-cbd-friday-21-november-2025,Friday 21 November 2025: Altona Railway Station and CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-morwell-cbd-monday-17-november-2025,Monday 17 November 2025: Morwell CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-cbd-and-surrounds-saturday-15-november-2025,Saturday 15 November 2025: Melbourne CBD and surrounds,previous,,FALSE
https://www.police.vic.gov.au/public-notice-werribee-railway-station-and-cbd-tuesday-21-october-2025,Tuesday 21 October 2025: Werribee Railway Station,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-cbd-and-surrounds-sunday-19-october-2025,Sunday 19 October 2025: Melbourne CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-geelong-cbd-wednesday-1-october-2025,Wednesday 1 October: Geelong CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-waurn-ponds-wednesday-1-october-2025,Wednesday 1 October: Waurn Ponds,previous,,FALSE
